"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms
Neurologist,Yes,Other,maybe,yes,yes,yes,41-60,Male,other,"Above 8,00,000",Emergency Services,Unaware,No Response,General Awareness,Other,other
Neurologist,No,Immediately,yes,maybe,maybe,maybe,41-60,Female,other,"6,00,001 - 8,00,000",Hospital,Immediate,Hospital /Medical Centre,Unaware,Unaware,other
Neurologist,Yes,Within a week,yes,yes,yes,yes,41-60,Male,other,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,maybe,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",Hospital,Immediate,Other,Headache,Other,other
Neurologist,Maybe,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"4,00,001 - 6,00,000",Doctor,Immediate,Doctor /Specialist,"Paralysis / Weakness, Vision Problems",Unaware,other
Neurologist,Yes,Immediately,yes,yes,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",Emergency Services,Immediate,Emergency Services,Speech / Confusion,"BP / Heart, Diabetes / Obesity",other
Neurologist,No,Other,maybe,maybe,maybe,maybe,15-25,Female,graduate,"Below 2,00,000",Unaware,Unaware,Emergency Services,Unaware,Unaware,other
Physician,No,Immediately,maybe,yes,maybe,maybe,15-25,Female,undergraduate,"Below 2,00,000",Doctor,Immediate,No Response,General Awareness,Unaware,No response
Physician,Maybe,Immediately,maybe,maybe,yes,maybe,15-25,Female,undergraduate,Not Specified,Not given,Not answered,No Response,"Paralysis / Weakness, Headache",Unaware,No response
Physician,No,Immediately,no,no,no,no,15-25,Female,other,"Below 2,00,000",Doctor,Unaware,Doctor /Specialist,General Awareness,Other,other
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Male,speciality,"4,00,001 - 6,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Maybe,Immediately,maybe,yes,yes,maybe,26-40,Male,graduate,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,maybe,15-25,Female,undergraduate,"Below 2,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Yes,Within a week,no,no,no,maybe,15-25,Male,speciality,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Maybe,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Not given,Not answered,No Response,"Paralysis / Weakness, Vision Problems",Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,maybe,15-25,Male,graduate,"6,00,001 - 8,00,000",Not given,Not answered,No Response,Speech / Confusion,Unaware,No response
Physician,Yes,Immediately,yes,yes,maybe,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,"Speech / Confusion, Paralysis / Weakness, Vision Problems",Unaware,No response
Neurologist,Maybe,Immediately,maybe,no,yes,yes,15-25,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,Doctor /Specialist,Headache,BP / Heart,No response
Neurologist,Maybe,Within a week,yes,yes,maybe,maybe,15-25,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Hospital /Medical Centre,General Awareness,Unaware,No response
Neurologist,No,Immediately,no,yes,yes,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Female,undergraduate,Not Specified,Not given,Not answered,No Response,"Paralysis / Weakness, Balance / Dizziness",Unaware,No response
Physician,No,Within a day,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,No,Within a month,no,no,no,no,15-25,Female,speciality,"Below 2,00,000",Not given,Not answered,No Response,General Awareness,Other,No response
Physician,No,Within a week,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,No,I would not consult a specialist,no,no,no,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"Above 8,00,000",Not given,Not answered,No Response,Balance / Dizziness,Unaware,No response
Physician,Yes,Immediately,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Paralysis / Weakness,Unaware,No response
Neurologist,Maybe,Within a month,no,no,no,no,15-25,Male,other,"2,00,001 - 4,00,000",Unaware,Unaware,No Response,Unaware,Unaware,Not answered
Physician,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"Below 2,00,000",Family/Friend,Unaware,No Response,General Awareness,Other,other
Physician,No,Other,no,no,no,no,15-25,Male,other,Not Specified,Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Yes,Within a week,maybe,maybe,no,yes,26-40,Female,graduate,Not Specified,Not given,Not answered,Doctor /Specialist,Paralysis / Weakness,Other,No response
Physician,Yes,Within a day,maybe,maybe,no,maybe,Other,Male,high school,"4,00,001 - 6,00,000",Unaware,Delayed,Doctor /Specialist,"Paralysis / Weakness, Vision Problems",Other,No response
Physician,Yes,Immediately,yes,no,no,yes,26-40,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Doctor /Specialist,General Awareness,Other,medical_checkup
Neurologist,Yes,Immediately,maybe,maybe,no,maybe,15-25,Female,graduate,"Below 2,00,000",Doctor,Immediate,Doctor /Specialist,Paralysis / Weakness,Other,No response
Physician,No,Within a week,maybe,maybe,maybe,no,26-40,Female,graduate,"Below 2,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,"Speech / Confusion, Paralysis / Weakness",Unaware,No response
Physician,Yes,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Emergency Services,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,medical_checkup
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a month,yes,yes,no,yes,15-25,Male,undergraduate,Not Specified,Not given,Not answered,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems",Other,No response
Physician,Maybe,Within a day,maybe,yes,maybe,maybe,15-25,Male,graduate,Not Specified,Not given,Not answered,No Response,Headache,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Other,maybe,maybe,maybe,maybe,15-25,Male,graduate,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,I would not consult a specialist,no,no,no,no,15-25,Female,undergraduate,"Below 2,00,000",Not given,Not answered,No Response,Headache,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Immediately,yes,yes,no,yes,15-25,Male,high school,"Below 2,00,000",Not given,Not answered,No Response,Headache,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Male,speciality,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Headache,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,maybe,maybe,15-25,Female,other,"4,00,001 - 6,00,000",Family/Friend,Immediate,Doctor /Specialist,Speech / Confusion,Diabetes / Obesity,medical_checkup
Neurologist,No,Within a month,yes,no,no,maybe,26-40,Male,speciality,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,General Awareness,Unaware,rest_safety
Physician,Maybe,Within a week,maybe,maybe,maybe,maybe,26-40,Female,speciality,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Maybe,I would not consult a specialist,no,no,no,no,15-25,Female,graduate,"2,00,001 - 4,00,000",Doctor,Unaware,No Response,Balance / Dizziness,Other,No response
Physician,Yes,Immediately,no,no,no,no,26-40,Female,graduate,Not Specified,Doctor,Immediate,Other,Multiple Symptoms / Aware,Other,other
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"Below 2,00,000",Not given,Not answered,Doctor /Specialist,General Awareness,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,maybe,yes,maybe,yes,15-25,Female,other,"Below 2,00,000",Not given,Not answered,No Response,Paralysis / Weakness,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Not given,Not answered,No Response,General Awareness,Other,No response
Physician,Yes,Immediately,yes,maybe,yes,yes,26-40,Female,graduate,"Below 2,00,000",Doctor,Immediate,Emergency Services,"Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",rest_safety
Orthopedic,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",Doctor,Delayed,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache",Other,other
Physician,No,Immediately,yes,no,no,no,26-40,Female,graduate,"Below 2,00,000",Doctor,Immediate,No Response,General Awareness,Other,other
"ENT (Ear, Nose, and Throat specialist)",No,Within a month,maybe,no,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",Unaware,Unaware,No Response,General Awareness,Other,other
Physician,No,Within a month,no,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Not given,Not answered,No Response,Speech / Confusion,Unaware,No response
Physician,No,I would not consult a specialist,no,no,no,no,26-40,Female,other,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Not given,Not answered,No Response,"Paralysis / Weakness, Balance / Dizziness",Unaware,No response
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"Above 8,00,000",Hospital,Immediate,Other,"Vision Problems, Headache",Other,observation_monitor
Physician,Yes,Within a day,yes,yes,maybe,maybe,26-40,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Doctor /Specialist,"Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",medical_checkup
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",medical_checkup
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Doctor /Specialist,"Vision Problems, Balance / Dizziness, Headache",Unaware,medical_checkup
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,Other,Female,high school,"4,00,001 - 6,00,000",Doctor,Immediate,No Response,"Paralysis / Weakness, Vision Problems, Headache",Unaware,other
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,"Below 2,00,000",Doctor,Immediate,Doctor /Specialist,Vision Problems,Diabetes / Obesity,No response
Neurologist,No,Immediately,no,no,no,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Immediate,Other,Paralysis / Weakness,Smoking / Alcohol / Drugs,No response
Physician,No,I would not consult a specialist,no,yes,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,yes,yes,Other,Male,graduate,"Above 8,00,000",Doctor,Immediate,Doctor /Specialist,General Awareness,Other,other
Physician,No,Within a week,no,no,maybe,no,15-25,Male,graduate,Not Specified,Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Immediately,no,no,no,no,15-25,Female,graduate,"Below 2,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,No,I would not consult a specialist,no,no,no,no,15-25,Male,graduate,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a week,yes,yes,maybe,yes,41-60,Male,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,General Awareness,Other,other
Orthopedic,Maybe,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,speciality,"2,00,001 - 4,00,000",Not given,Immediate,Doctor /Specialist,General Awareness,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,41-60,Male,high school,"Above 8,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Physician,No,Immediately,yes,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,maybe,maybe,maybe,15-25,Female,high school,"6,00,001 - 8,00,000",Family/Friend,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,medical_checkup
Other,Yes,Within a day,yes,no,no,no,15-25,Male,high school,"Above 8,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",medical_checkup
Physician,No,Within a day,maybe,maybe,maybe,no,41-60,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Doctor /Specialist,Multiple Symptoms / Aware,Unaware,medical_checkup
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,41-60,Male,graduate,"6,00,001 - 8,00,000",Not given,Delayed,Doctor /Specialist,Balance / Dizziness,Diabetes / Obesity,No response
Neurologist,No,Within a day,no,no,maybe,no,15-25,Male,high school,Not Specified,Family/Friend,Delayed,No Response,Unaware,Unaware,other
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,Not Specified,Doctor,After Checkup,Hospital /Medical Centre,"Paralysis / Weakness, Balance / Dizziness",Diabetes / Obesity,medical_checkup
Physician,No,Within a week,no,no,no,no,26-40,Female,graduate,Not Specified,Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Not answered
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Doctor,After Checkup,Doctor /Specialist,"Speech / Confusion, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Neurologist,No,Within a day,no,no,no,no,26-40,Female,other,Not Specified,Family/Friend,Unaware,No Response,Unaware,Unaware,Not answered
Neurologist,Yes,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,Not Specified,Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,medical_checkup
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,Not Specified,Family/Friend,After Checkup,Hospital /Medical Centre,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,maybe,yes,maybe,41-60,Male,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,undergraduate,Not Specified,Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",other
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Not answered
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,Not answered
Orthopedic,No,Within a week,no,no,yes,no,15-25,Male,high school,Not Specified,Not given,Not answered,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,Yes,Within a day,maybe,yes,yes,yes,26-40,Male,other,"Above 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Neurologist,No,Within a week,no,no,no,no,15-25,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Delayed,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a week,maybe,no,no,maybe,15-25,Female,graduate,Not Specified,Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a week,no,maybe,no,no,26-40,Female,graduate,Not Specified,Hospital,Delayed,Hospital /Medical Centre,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Family/Friend,Delayed,Hospital /Medical Centre,Unaware,Unaware,No response
Neurologist,No,Within a week,no,maybe,maybe,no,15-25,Female,graduate,Not Specified,Family/Friend,Delayed,Other,Unaware,Unaware,No response
Physician,No,Within a week,no,no,no,no,41-60,Female,high school,Not Specified,Family/Friend,Not answered,Doctor /Specialist,Unaware,Unaware,No response
Neurologist,Yes,Immediately,maybe,yes,yes,yes,15-25,Female,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",no_food_drink_sleep
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,Not Specified,Emergency Services,Immediate,Emergency Services,"Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",other
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,Not Specified,Emergency Services,Immediate,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Doctor /Specialist,Speech / Confusion,"Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Physician,No,Within a day,yes,yes,yes,yes,15-25,Female,graduate,Not Specified,Doctor,Not answered,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Family/Friend,Delayed,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",Doctor,Delayed,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",Not answered
Physician,No,Within a week,maybe,maybe,maybe,maybe,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,Not Specified,Family/Friend,Delayed,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,other,Not Specified,Doctor,Delayed,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,no,no,no,26-40,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,no,no,no,no,41-60,Male,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Male,high school,"4,00,001 - 6,00,000",Doctor,Delayed,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Male,other,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",other
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,41-60,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,"4,00,001 - 6,00,000",Doctor,Not answered,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",no_food_drink_sleep
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"4,00,001 - 6,00,000",Emergency Services,Not answered,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",other
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,No,Immediately,maybe,no,maybe,maybe,26-40,Male,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Physician,No,Immediately,no,yes,yes,yes,15-25,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,After Checkup,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Physician,No,Within a week,maybe,no,no,no,26-40,Male,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Male,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",other
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,high school,"2,00,001 - 4,00,000",Emergency Services,After Checkup,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,no,no,no,no,41-60,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",calm_reassure
